Turkish,English
bölüm,part
tarih,history
arama,search
sadece,only
polis,police
düşünce,thought
yardım,help
istek,request
tür,kind
ay,month
erkek kardeş,brother
izin vermek,let
çünkü,because
koymak,to put
hayır,no
tasma,leash
onlara,them
şehir,city
her biri,each
konuşmak,speak
gelmek,come
meli,should
bebek,baby
uzun zaman,long time
saatler,hours
niyet,will
süre,while
yeniden buluşmak,meet again
herhangi,any
meydan,square
konuşmak,speak
anlamak,understood
bilmek,knew
dı-di,were
uyarı,Warning
burada,here is
abilir,could
dava,case
vermek,give
tip,type
onların,their
verilen,given
tren,train
vücut,body
yer,place
gözler,eyes
yol,way
dinlemek,listen
kimin,whose
bulmak,find
ilk,first
kayıp,lost
el,hand
ilk,first
taraf,side
güç,power
eski,old
olmak,be
burada,here
sabah,morning
bu kadar,so much
çocuk,child
nokta,point
gelmek,came
sonra,after
üzgün olmak,sorry
gelmek,come
önünde,in front of
karşı,towards
dakika,minutes
rica,request
yatak odası,bedroom
yerleştirilmiş,placed
güzel,beautiful
kanun,law
istemek,would like to
bugün,today
koca,husband
neden,cause
nihayet,finally
ümit etmek,hope
su,water
beklemek,Wait
ayrılmak,left
yeni,new
meslek,job
durmak,Stop
söylemek,would say
yeryüzü,Earth
hesap,account
verilen,given
uzak,far
son,end
inanmak,believe
sevgili,sweetheart
büyük,large
daha doğrusu,rather
sahip olmak,will have
kızlar,girls
oynamak,to play
ofis,office